email,senha,nome,sobrenome,cep,endereco,numero,complemento,cidade,apelido cartao,pan,dataexp,cvv,cpf
eduarda.sousa@outlook.com,48d4af,Eduarda,Sousa,065152167,Marechal Eloisa Pereira Yamada,276,Ap. 54,Salvador,VISA teste,4929130462109560,0723,536,68206336373
pedro.starosta@bol.com.br,823b39,Pedro,Starosta,702267737,Coronel Alan de Andrade Queiroz,1981,Ap. 53,Nova Serrana,VISA teste,4532199496589180,0324,550,61053686316
caio.megumi@outlook.com,f17800,Caio,Megumi,366388040,Coronel Alan de Gomes Olini,243,Casa,Itapoá,VISA teste,4716450033061930,0923,890,40434875734
pedro.krajuska@gmail.com,53b347,Pedro,Krajuska,012663730,Coronel Caio de Martins Iboshi,1778,Casa,Cuiabá,VISA teste,4916347136464210,1224,496,60278355246
guilherme.megumi@gmail.com,f39324,Guilherme,Megumi,518762362,Coronel Alagoas,1850,Ap. 98,Aracaju,VISA teste,4024007138827990,0425,163,84001830366
alfredo.pera@outlook.com,c96372,Alfredo,Pera,187887580,Presidente Alfredo Calopsita Krajuska,1663,Casa,Campo Grande,VISA teste,4716826858856870,0426,738,32138255224
carolina.calopsita@bol.com.br,9a2413,Carolina,Calopsita,014324372,Marechal Marcus de Vicente Harres,453,Ap. 78,Nova Serrana,VISA teste,4539128160058430,0622,933,45874285813
marcus.kruger@bol.com.br,d15b84,Marcus,Kruger,883215717,Coronel Marcos Dudeque Pera,119,Ap. 5,Divinópolis,VISA teste,4532191514735820,0123,552,78022201372
marcos.iboshi@outlook.com,e64c76,Marcos,Iboshi,620854624,Presidente Fernando de Strozzi Padovani,1241,Casa,Rio de Janeiro,VISA teste,4024007101956940,1229,440,57854447238
roberto.gil@outlook.com,db4fa9,Roberto,Gil,162222137,Marechal Renan da Harres Schumacher,1032,Casa,Divinópolis,VISA teste,4024007126621470,0521,548,25412814116
caio.starosta@bol.com.br,b024d1,Caio,Starosta,078241377,Coronel Amapá,1491,Ap. 176,Maceió,VISA teste,4532356278233800,1223,736,34188287711
